OTUId	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100
JUJ_18550	0	0	88	4	3	0	0	14
JUJ_5673	0	0	0	0	0	0	0	0
JUJ_18018	0	0	0	22	0	42	0	0
JUJ_19494	0	0	5	0	0	0	1794	0
JUJ_11773	0	0	0	0	0	0	0	0
JUJ_19720	0	2	3	0	0	0	398	0
JUJ_16535	0	0	0	0	0	0	0	0
JUJ_6170	0	0	777	1	0	0	0	0
JUJ_22544	0	0	6	0	0	0	1	2
JUJ_16980	0	1	0	0	0	1	0	0
JUJ_11960	0	1	0	0	0	0	0	0
JUJ_1708	0	0	0	0	0	0	0	0
JUJ_6983	0	0	0	0	0	0	0	0
JUJ_902	0	1	55	2	0	0	1	1
JUJ_10916	0	0	0	0	0	0	0	0
JUJ_6518	1	7	0	0	1	0	0	16
JUJ_23406	0	2	134	99	14	0	0	0
JUJ_17043	0	0	9	0	0	1	0	5
JUJ_366	0	1	0	0	0	0	0	0
JUJ_12068	0	0	1	0	0	11	0	0
JUJ_1433	0	0	0	29	0	0	0	0
JUJ_17848	0	0	0	0	0	0	685	0
JUJ_15187	0	0	2	2	0	0	0	0
JUJ_1437	0	34	18	0	0	0	0	24
JUJ_18276	0	0	0	0	0	0	0	0
JUJ_15159	0	0	2	0	0	0	0	0
JUJ_1710	0	0	22	0	0	0	2	0
JUJ_15095	0	50	3	0	0	0	0	0
JUJ_1790	0	0	0	0	0	5	0	1
JUJ_17941	0	0	0	0	0	0	0	0
JUJ_21860	0	0	18	1	0	1	0	0
JUJ_21143	0	0	76	0	0	0	350	0
JUJ_2468	3	0	1	28	1	0	0	0
JUJ_23466	0	0	224	53	0	0	0	1
JUJ_1734	0	0	0	0	0	0	0	0
JUJ_12829	0	0	0	0	0	0	0	0
JUJ_2590	0	0	0	2	0	0	0	0
JUJ_11444	0	0	0	0	0	0	0	0
JUJ_20539	0	0	0	9	0	1	1	0
JUJ_5807	0	0	0	8	0	0	0	0
JUJ_2624	0	0	0	0	0	0	0	0
JUJ_12919	0	0	0	7	0	0	0	0
JUJ_15707	0	0	0	0	0	0	0	0
JUJ_13478	0	1	0	1	0	0	0	1
JUJ_10872	0	0	0	0	0	0	0	0
JUJ_1959	0	0	4	0	0	0	0	0
JUJ_16860	0	0	0	3	0	0	198	4
JUJ_4331	0	0	5	0	0	0	0	2
JUJ_15333	0	1	1	0	0	0	0	1
JUJ_15213	0	0	0	0	0	0	0	0
JUJ_1745	0	292	0	0	0	0	0	0
JUJ_22822	0	0	4	0	0	0	271	0
JUJ_3652	0	0	0	0	0	0	0	0
JUJ_6041	0	0	0	0	0	0	0	0
JUJ_12658	9	32	56	97	87	0	0	53
JUJ_12173	0	647	9	1	0	13	3	0
JUJ_18384	0	0	68	1	0	0	0	2
JUJ_12822	0	0	0	0	0	0	0	0
JUJ_18407	0	8	0	55	0	0	0	0
JUJ_12207	0	2	18	1	53	0	0	0
JUJ_18228	0	0	0	0	0	0	0	7
JUJ_22234	0	0	782	181	0	0	0	0
JUJ_919	0	37	0	1	0	0	0	1
JUJ_3182	0	0	0	0	0	0	0	0
JUJ_16610	0	0	0	0	1	0	0	0
JUJ_12014	0	83	8	38	0	39	0	14
JUJ_6982	0	0	0	0	0	0	0	0
JUJ_12711	21	0	0	0	0	0	0	0
JUJ_986	0	0	0	0	0	0	0	0
JUJ_11899	0	321	334	23	0	80	2	1
JUJ_839	0	175	0	68	0	0	1	0
JUJ_16883	18	0	0	85	1280	0	0	0
JUJ_12830	0	0	13	25	0	1	0	25
JUJ_20344	0	0	10	0	0	0	0	0
JUJ_12099	0	42	88	125	171	55	1	35
JUJ_682	0	0	0	540	3	3	1	3
JUJ_13348	0	0	4	0	0	0	2018	0
JUJ_9786	0	0	0	0	0	0	0	0
JUJ_151	0	25	3	39	0	1	0	15
JUJ_1834	0	0	0	0	0	0	0	0
JUJ_345	0	0	0	0	0	0	0	0
JUJ_6845	0	0	79	0	4	0	0	0
JUJ_19195	0	0	155	1	0	2	30	2
JUJ_220	0	0	0	0	0	0	0	0
JUJ_22849	0	0	17	0	0	0	0	0
JUJ_12301	7	0	64	3	15	40	0	5
JUJ_113	6	101	1	546	1	982	1	7
JUJ_2748	22	0	6	0	0	0	0	1
JUJ_17983	0	0	0	0	0	0	0	0
JUJ_5515	0	0	0	0	0	0	0	0
JUJ_8584	0	0	0	0	0	0	0	0
JUJ_1858	0	87	0	0	0	0	0	0
JUJ_13091	0	98	9	44	0	0	0	10
JUJ_12657	0	5	0	3	19	1	0	1
JUJ_920	0	0	0	0	0	1	0	1
JUJ_15268	0	0	0	0	0	0	0	4
JUJ_1713	0	0	164	7	29	0	0	0
JUJ_9084	0	0	0	0	0	0	0	0
JUJ_22959	0	0	42	0	0	0	23	1
JUJ_14045	0	3	130	6	14	2	0	53
JUJ_904	0	0	0	4	1	0	0	2
JUJ_5527	0	0	4	0	0	0	0	0
JUJ_1791	0	115	0	0	0	0	0	0
JUJ_18823	0	2	2	0	0	1	0	4
JUJ_18324	0	0	0	0	0	0	0	0
JUJ_15098	0	0	0	0	0	0	0	0
JUJ_7238	0	0	83	0	0	0	0	2
JUJ_15052	0	0	0	0	0	0	0	0
JUJ_10726	0	0	0	1	0	0	0	0
JUJ_2060	0	53	0	0	0	0	0	5
JUJ_774	1	128	0	1	0	15	2	37
JUJ_961	0	717	0	0	0	0	1	0
JUJ_12791	0	7	2	0	0	0	0	1
