
already sample present  N09391SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_april.txt
already sample present  L08239SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_april.txt
already sample present  L87107IM00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N08354M600 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L08239SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  M04248CT00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N18747SN02 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  N15954SN00 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L19198M600 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
already sample present  L13716Y100 /Users/sariyasanjeev/bin/merge_otu_table/mini_new.txt
row count  1004  column count  20
OTUid	N04231CT00	N14551M600	N06891Y100	M19165M600	N06299CT00	L17774SN00	N09846SN00	N09391SN00	L87107IM00	N08354M600	L08239SN00	M04248CT00	N18747SN02	N15954SN00	L19198M600	L13716Y100	NEC3	NEC1	N19035SN00	M07845SN00	
JUJ_13399	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	150.0	2.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	
JUJ_155	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	183.0	12.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
JUJ_13861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	109.0	5.0	6.0	1.0	0.0	10.0	0.0	0.0	0.0	0.0	
JUJ_5829	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.0	1.0	0.0	0.0	5270.0	1.0	0.0	0.0	0.0	0.0	
JUJ_576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4568.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_365	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	3.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	
JUJ_6124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	348.0	1598.0	0.0	0.0	1249.0	1.0	0.0	0.0	0.0	0.0	
JUJ_12019	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28823.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_11765	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	367.0	207.0	377.0	62.0	17.0	43.0	24.0	165.0	0.0	0.0	0.0	0.0	
JUJ_16637	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	297.0	1129.0	45.0	88.0	2.0	42.0	0.0	0.0	0.0	0.0	
JUJ_7786	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18154.0	0.0	0.0	0.0	0.0	0.0	
JUJ_14074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	104.0	67.0	13.0	13.0	1.0	1212.0	1.0	0.0	0.0	0.0	0.0	
JUJ_12106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	1636.0	70.0	350.0	936.0	446.0	13.0	26.0	0.0	0.0	0.0	0.0	
JUJ_239	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	68.0	5351.0	400.0	0.0	3.0	6197.0	3.0	0.0	0.0	0.0	0.0	
JUJ_1924	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	1.0	960.0	12.0	7.0	10.0	4.0	2665.0	0.0	0.0	0.0	0.0	
JUJ_391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	11.0	1.0	8.0	0.0	24.0	0.0	0.0	0.0	0.0	
JUJ_23491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	65.0	39.0	7.0	276.0	9.0	9.0	8.0	0.0	0.0	0.0	0.0	
JUJ_18286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	742.0	9031.0	5006.0	1.0	8.0	11.0	185.0	0.0	0.0	0.0	0.0	
JUJ_15337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	62.0	5.0	0.0	0.0	1.0	187.0	0.0	0.0	0.0	0.0	
JUJ_73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	29.0	223.0	103.0	13.0	7.0	11.0	0.0	0.0	0.0	0.0	
JUJ_17903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
JUJ_23093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	5559.0	514.0	1143.0	919.0	13.0	1.0	44.0	0.0	0.0	0.0	0.0	
JUJ_5849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	33.0	0.0	0.0	9999.0	10.0	0.0	0.0	0.0	0.0	
JUJ_21322	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	1779.0	210.0	1218.0	70.0	14.0	11.0	58.0	0.0	0.0	0.0	0.0	
JUJ_12519	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	186.0	7.0	4.0	1.0	1670.0	0.0	0.0	0.0	0.0	0.0	
JUJ_13326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	113.0	8.0	4.0	5.0	0.0	7.0	0.0	0.0	0.0	0.0	
JUJ_277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	1.0	0.0	0.0	5.0	0.0	16.0	0.0	0.0	0.0	0.0	
JUJ_358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	2.0	1.0	0.0	41.0	1.0	0.0	0.0	0.0	0.0	
JUJ_10848	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	69.0	705.0	695.0	3.0	1.0	6761.0	11.0	0.0	0.0	0.0	0.0	
