	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria	Bacteria
	Firmicutes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Actinobacteria	Bacteroidetes	Bacteroidetes	Bacteroidetes	Bacteroidetes	Firmicutes	Firmicutes	Bacteroidetes	Firmicutes	Actinobacteria	Firmicutes
	Clostridia	Bacteroidia	Clostridia	Clostridia	Bacteroidia	Actinobacteria	Bacteroidia	Bacteroidia	Bacteroidia	Bacteroidia	Negativicutes	Clostridia	Bacteroidia	Clostridia	Actinobacteria	Clostridia
	Clostridiales	Bacteroidales	Clostridiales	Clostridiales	Bacteroidales	Actinomycetales	Bacteroidales	Bacteroidales	Bacteroidales	Bacteroidales	Selenomonadales	Clostridiales	Bacteroidales	Clostridiales	Actinomycetales	Clostridiales
	Peptoniphilaceae<0.8	Prevotellaceae	Peptoniphilaceae	Clostridiales_Incertae_Sedis_XI	Porphyromonadaceae	Corynebacteriaceae	Porphyromonadaceae	Prevotellaceae	Prevotellaceae	Prevotellaceae	Veillonellaceae	Peptostreptococcaceae	Prevotellaceae	Clostridiales_Incertae_Sedis_XI	Corynebacteriaceae	Clostridiales_Incertae_Sedis_XI
		Prevotella	Peptoniphilus	Finegoldia	Porphyromonas	Corynebacterium	Porphyromonas	Prevotella	Prevotella	Prevotella	Dialister	Peptostreptococcus	Prevotella	Anaerococcus	Corynebacterium	Ezakiella
		Prevotella_timonensis_T	Peptoniphilus_gorbachii_T<0.8	Finegoldia_magna_T	Porphyromonas_bennonis_T<0.8	Corynebacterium_accolens_T<0.8	Porphyromonas_sp_sp2-iso-ab16x2<0.8	S000414458_Prevotella	Prevotella_disiens_T	S000414448_Prevotella	Dialister_propionicifaciens_T	Peptostreptococcus_anaerobius_T	S000414459_Prevotella	Anaerococcus_murdochii_T	Corynebacterium_glucuronolyticum_T<0.8	Ezakiella_peruensis_T
L11839Y100	14211	1765	3804	138	491	8	2470	25	544	5387	1815	36	382	467	8	129
L04425CT00	803	26	4111	2809	5934	94	44	12	9	19	15	24	2038	214	1346	28156
M09269Y100	13629	19	4913	2708	21480	700	525	9	7	15	4	7	76	339	21683	32
N18399SN00	11735	4764	2447	6116	1641	312	806	1	2	1	1597	0	245	908	0	3173
L06603CT00	11	1389	8520	11464	14	4	88	16207	2293	2	1541	3073	140	533	1	1
M90855-IM00	301	3308	2068	3492	65	14	128	199	17	187	231	42	176	1450	1716	57
L19512M600	72	35	38	247	15	1553	41	21	17	16	23	12	22	22	9	35
N69860-IM00	5549	3458	449	303	168	1	551	349	2144	11	1364	68	217	138	4	618
N09781SN01	21057	6038	7772	6996	740	0	175	29	11	27	107	2428	1605	3402	407	1062
M11767SN00	731	8737	537	150	29	5	5348	5	6	9	1319	3	2109	150	7	912
N80756-IM00	46	7622	1212	5173	8	14	6	7	8	25	12	524	101	3492	5661	11
N11784Y100	1189	56	6902	9303	1587	647	34	10	3	10	10	20	135	1577	1556	1218
N18674SN00	5251	4462	2071	1186	679	3	363	3099	6401	440	662	1833	199	128	6	201
M73252-IM00	667	1054	2244	1941	8090	0	429	4	0	263	360	1	161	1223	779	1148
L20625SN00	155	2423	1153	664	25	1	91	619	475	8	457	1028	495	140	34	113
N11784SN00	38	60	24	92	6	7	8	10	9	6	11	36	11	13	13	8
N75910-PR00	8292	187	6318	4930	6497	71	434	5	2	14	25	4	1040	391	2272	385
L21272SN00	1127	3215	405	173	998	0	3736	498	1669	80	1675	1071	882	961	10	614
M02109CT00	13657	4	5737	1396	26816	402	2644	5	4	2	2	0	2291	157	5016	3382
M03730CT00	25	21	134	6903	6	1408	4	6	9	2	9	1	69	96	143	13
N15954M600	73	36	43	381	18	550	26	22	11	12	24	15	17	87	6	25
L15643SN00	1641	6696	589	988	75	4	1958	8123	3331	8	2716	3717	287	90	27	667
L20170SN00	1936	1226	1222	1103	1239	41	3251	286	22	8251	141	34	2039	257	11	1580
M82137-PR00	5803	2013	6036	5384	15398	167	737	104	29	7	659	256	1481	900	580	338
N11475SN00	7856	4467	1442	1278	1131	5	3693	60	1027	25	2463	8	2356	639	4	1159
L18931SN01	6028	4781	2238	2874	653	13	2159	268	443	8666	3588	3584	1999	775	560	1012
L01404CT00	13795	4331	2347	2119	3545	10	1510	3034	7197	4777	2396	3936	847	481	118	2432
M09269SN00	997	40	1797	146	9611	6	625	46	18	16	19	21	600	1190	4726	29
N84031-IM00	3136	185	1466	2034	360	15	113	3	0	14	52	8	54	1421	303	517
L04271Y100	121	9450	2892	2346	5469	88	4128	16	11	11	35	21	1704	3287	6	5268
L00213CT01	1755	1294	200	34	26	1	538	6	51	57	319	10	267	29	0	535
L04425Y100	106	22	1881	1336	244	285	16	24	6	3	10	16	9	101	8669	2858
N03650M600	1160	946	50	3	23	0	353	3	3	2	675	4	389	4	2	27
M69819-PR00	3317	11671	1598	2215	306	2	1751	2712	1398	3098	2029	5860	2025	1116	1	2335
M04599CT00	5594	746	204	15	231	2	388	1	20	235	633	3	393	53	0	353
N13221M600	19444	9085	799	181	1228	1	5568	14	4	596	4084	5	1847	159	1	602
M00696CT00	2020	674	347	111	25	4	569	386	211	138	579	47	98	56	0	518
M18796SN00	5473	7014	1874	7	189	1	4900	11534	8879	8	763	5980	1506	417	4	256
L18397Y100	10793	608	800	11	476	0	1911	1	5	8365	1669	184	1456	101	0	472
